user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
What method did Song et al. develop to measure the contact angle?,"['(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)\n\n232\n\nEngineering apparel fabrics and garments\n\nPatterson100 using the reﬂ ected light beam to measure the contact angle. Likewise, Song et al.101 developed a drop length–height method to measure the same.', '17\n\nI. L. Hosier et al.\n\nThese include contact force imaging (CFI) mode, in which the tip is scanned across the sample surface at constant force, tapping mode in which the tip oscillates close to the surface enabling either the forces or phase relationships between load and displacement to be used to form the image, and local force spectroscopy or force/volume imaging in which the variation of force with tip/sample separation at a point can be used to study local interactions.', 'Patterson100 using the reﬂ ected light beam to measure the contact angle. Likewise, Song et al.101 developed a drop length–height method to measure the same.\n\nAnother recently patented areal wicking ‘spot’ testing instrument is the Moisture Management Tester (MMT).102 This instrument is based on the measurement of the electrical resistance of the upper and lower surface of the fabric.56 The instrument gives various moisture management indices, which include the accumulated liquid absorption of the upper and lower surfaces of the fabric, maximum difference of the water content between the upper and lower fabric surfaces, initial liquid absorption speeds and spreading rates of water at the upper and lower surfaces. Just like other areal wicking ‘spot’ tests, this method does not simulate profuse sweating conditions. Furthermore, it presents difﬁ culties in testing long pile fabrics because piles do not touch the copper wires properly.\n\nSyphon tests', 'that this test method be revised. Considerable research has led to the development of objective assessment techniques, including computer vision (photometric stereo technology combined with ANFIS- adaptive neural fuzzy inference systems), for evaluating the fabric wrinkle grade objectively. Fan et al.3 and Hunter5 have discussed various objective methods of measuring and characterising wrinkle recovery, including stylus (contact), laser scanning and image analysis.']",Song et al. developed a drop length–height method to measure the contact angle.,A drop length–height method.,1.0,0.9999999999999992,1.0,0.8333333332916666
How do the clearances between the shell and the feed roller affect the average fibre length in the card sliver?,"['The clearances between the shell and the feed roller, the shell and the cylinder, and the feed roller and the cylinder can be altered to give a selection of operating conditions. These settings can have a considerable bearing upon the average fibre length in the card sliver and since it is axiomatic that as long a fibre length as possible is desired, the shell settings assume considerable importance. In general, any adjustment which exposes the jute to prolonged combing at the shell will reduce the fibre length, though naturally sufficient time must elapse to allow the essential opening, splitting, and cleaning to be achieved. Alterations in the combing time come about through changes in the rate of fibre feed. For example, if the fibre is fed at 8 ft/mip, then each inch of the reed will pass over the shell edge in 9~ min, but if the feed rate is altered to 16 ftlmin, then each inch will pass over the shell in 1 h min, i.e. half the time. Like the spreader, the breaker card is a', 'this distance,\n\nFigure 7.3 shows the fibre length distribution of a jute finisher card sliver placed alongside the drafting zone of_ a first drawing frame and\n\n,\n\nki&U ffi\n\n,\n\n, ,\n\nI\n\nI I\n\nI :\n\n\'"" .s 40 \'"" 20\n\nc\n\n~ Q) Cl..\n\n2 Fibre length and front reach (in.)\n\n8 9\n\nFigure 7.3. Number of finisher card slivers shorter than the front reach on a push-bar first drawing frame\n\ntextilestudycenter.com\n\nDrawing\n\n109\n\nthe high proportion of fibres which are shorter than the front reach will be seen. Naturally, the more short fibre present in a sliver the more fibre movement will occur in the front reach and the more pronounced the faller-bar slubs will be.', 'The leading end of the sliver was subjected mechanically to a series of squarings in order to eliminate length bias (see Section 2.4.1). From the squared fringe, a small tuft, similar to that shown in Fig. 4.13 but containing about 500 fibres, was withdrawn and passed slowly downwards through a pair of delivery rollers. Since the leading ends of the fibres in the tuft were aligned, the rotation of the rollers released the fibres in succession according to their length, the shortest first and the longest last.', ""The other important variable is the clearance between the shell and the feeder roller. The greater the distance between the two the lighter is the grip on the jute and the more easily is it dragged into the card by the cylinder pins. This has the same effect as reducing the time of combing, i.e. less breakage occurs. Table 6.2 gives a summary of the results of an experiment where two shell/feed-roller settings were used and the yarn properties examined.\n\nThe jute processed with the closer shell setting had a shorter average fibre length and poorer yarn properties. However, it cannot be deduced from this that the wider the feed/shell setting the better will be the quality of the yarn since there must be sufficient restraining\n\ntextilestudycenter.com\n\n91\n\nCarding\n\nTABLE 6.2. EFFECT OF SHELL SETTING ON YARN QUALITY\n\nYarn properties\n\nShell/feed-roller clearance\n\ntin.\n\ntin.\n\nCount (lb/sp.) Breaking load (lb) Coefficient of variation of breaking load\n\n7·9 7·2 18'3\n\n7·9 7·S 17·9\n\n(per cent)""]","The greater the distance between the shell and the feeder roller, the lighter is the grip on the jute, and the more easily it is dragged into the card by the cylinder pins. This has the same effect as reducing the time of combing, leading to a shorter average fibre length in the card sliver.","The clearances can be altered to give a selection of operating conditions, which have a considerable bearing upon the average fibre length in the card sliver.",0.75,0.7764870927926126,1.0,0.7499999999625
What are the three main steps in ACL reconstructive surgery?,"['104\n\nBiomedical Textiles for Orthopaedic and Surgical Applications\n\nnew, vascularized tissues, while not interfering with the remodeling stage that begins later in the healing process.', 'Consideration must also be given to the method of fixing the scaffold in the defect site. Not all nonwoven scaffolds require additional fixation because they can be pushed into place to fill the defect area. Push-fit nonwovens scaffolds must have suf- ficient recovery post-implantation to be able to mould to the contours of the defect\n\n57\n\ntextilestudycenter.com\n\n58\n\nBiomedical Textiles for Orthopaedic and Surgical Applications\n\nTable 3.1 Common surgical situations suitable for reconstruction using a nonwoven scaffolds\n\nExamples of surgical situations\n\nBone defect type\n\nReference\n\nKhira and Badawy (2013), Di Stefano et al. (2012), and Gentile et al. (2013)\n\nRemoval of benign tumour: unicameral bone cysts, periapical cyst, or tumour resection. Due to trauma or surgery\n\nFracture nonunion: small bone defect after surgical procedure Segmental bone defect', 'Figure 7.12 A guidewire is inserted from the tibial tunnel into the femoral tunnel to eventually pull the graft into position. This is the orientation of the future graft.\n\n159\n\ntextilestudycenter.com\n\n160\n\nBiomedical Textiles for Orthopaedic and Surgical Applications\n\nFigure 7.13 Notchplasty during ACL reconstruction. The first image is before the notchplasty. The second shows that a part of the procedure has been performed, and finally, the notchplasty is completed.\n\nFigure 7.14 The graft is pulled in the tunnels.\n\nThe use of the continuous passive motion machine has now been almost completely abandoned. Marumo et al. suggest a low-aggression rehabilitation programme to allow the graft to undergo the process of ligamentization. Training in proprioception has been shown to be a very important aspect of the rehabilitation process (Marumo et al., 2005). The third aspect, graft fixation, is discussed in Section 7.8.\n\nAnterior cruciate ligament prostheses using biotextiles', 'In brief, the most common causes for failure of ACL reconstructive surgery are errors in diagnosis and surgical technique, such as graft impingement,improper tunnel placement, improper graft tensioning, inadequate fixation of the graft and missed con- comitant pathology at the time of surgery. A traumatic event can also occur and, in such cases, revision ACL surgery is often indicated. The key to success is to clearly identify the reason for failure, because outcomes are not as good as in primary recon- struction, ranging between 50% and 80% (Gordon and Steiner, 2004).\n\n7.9 The use of synthetic materials and prostheses\n\nin ACL reconstructive surgery\n\nFor manycliniciansand scientists,tissueengineering was tobecomethe solutionfor the problems encountered with ACL reconstruction. This multidisciplinary field incorpo- rates knowledge from mechanical physics, biomaterials, biology and chemistry to try\n\nAnterior cruciate ligament prostheses using biotextiles\n\n165']","Based on the provided context, the three main aspects discussed related to ACL reconstructive surgery are:

1. Graft fixation
2. Training in proprioception
3. Rehabilitation process","The three main steps in ACL reconstructive surgery are graft selection, graft position, and graft fixation.",0.0,0.8840116088731834,0.0,0.0
What is the purpose of computer-aided design (CAD) in the textile industry?,"['This chapter tells the story of a group of researchers who determined in the early 1990s to approach the computer-aided design (CAD) of textiles from the opposite direction to that previously adopted by researchers or developers in this field. Despite over a decade of endeavour this project remains work in progress and due to the complexity of the subject and the reactionary nature of the industry it will probably continue as such for some time to come. The different approach taken by this group can be summed up quite simply. When a fabric is to be designed and then produced, it is first necessary to choose a suitable yarn with the required aesthetic and mechanical properties. It is therefore logical that if an accurate computer simulation of a fabric is to be produced, we should begin with the accurate simulation of the component yarn. As with all simple statements of concept, the implications of this statement are far reaching. The chapter will try to explain these implications and', 'Due to the demand for TE scaffolds, as well as the high costs of the in vitro and in vivo stages of the research and development work, designing and modelling tools could highly benefit the field. There are numerous computer software packages avail- able for designing and modelling textiles, depending on the type of the manufacturing process used. Computer-aided design (CAD) is also used by the textile industry to improve work and documentation. CAD programs aid the engineering of textile assemblies in order to define structures, predict mechanical properties, and carry out common calculations. The programs input weave and knit patterns along with the yarn properties. On the other hand, computer-aided manufacturing (CAM) is ded- icated to the manufacturing of advanced textile structures based on the use of conven- tional weaving technology. It has been used to manufacture 2D and 3D textile\n\n(a)\n\n(b)', 'colourways, colour chips, multi- image placement, scaling, rotating, spooling or batching are also desirable features. Specialized screen print simulation features of software such as DuPont’s Colour Control and Management System (CCMS) are highly desirable if the digital output needs to match to screen-printed production yardage. The colour management and RIP software options available to the textile industry reflect a growing market acceptance of digitally printed fabric for proofing, sampling and short-run production.', 'Chapter 6 on Computer-aided garment design using 3D body models contributes to the understanding of solutions for designing and illustrating garments on computer screens which enable designers to communicate their ideas to suppliers and buyers. This chapter describes a system developed by a research team for creating designs relative to an underlying 3D form using a mannequin or torso ‘stand’. The system has been developed commercially for shoe design and can be used for other applications and specifically the example illustrated is a female flack jacket which can be designed to high specification. The final chapter in the first section is an overview of the commercial advances in the development of CAD systems. This describes how computerised\n\ntextilestudycenter.com\n\nIntroduction\n\n3\n\npattern making speeds up the product development process which is so important in the area of fast fashion and enables design and pattern construction to be integrated into a more continuous process.']","The purpose of computer-aided design (CAD) in the textile industry includes improving work and documentation, aiding the engineering of textile assemblies, defining structures, predicting mechanical properties, and carrying out common calculations. CAD programs input weave and knit patterns along with yarn properties to simulate and design fabrics accurately. Additionally, CAD can help speed up the product development process, especially in fast fashion, by integrating design and pattern construction into a more continuous process.","CAD programs aid the engineering of textile assemblies in order to define structures, predict mechanical properties, and carry out common calculations.",1.0,0.9999999999999998,1.0,0.49999999995
What issues are associated with the colourfastness of disperse-dyed acetates?,"['due to drips of water or chemicals (change in dye affinity) Silicone stains (often darker, from softening, stretch or hydrophobic finishes and antifoaming agents) Softeners, hydrophobic agents, flame retardants and other finishing agents which have precipitated due to faulty treatment conditions, usually colourless and uncommon In addition to soiling, stains due to yellowing, caused by antioxidants in plastic films and cartons together with nitrous oxides in the air (combustion engines) and cationic substances246', 'reddish purple colour build up from an almost colourless state while diarylethene 2 based inkjet printed substrates showed yellow colour build up from a colourless state (with a pale yellow colour). However, after UV irradiation on both spirooxazines 1 and 2 based inkjet printed substrates showed intense blue colour build up from nearly colourless state (with a very pale bluish tone) while naphthopyran based inkjet printed substrates showed yellow colour build up from a natural colourless background states of different fabrics obtained after inkjet printing.', 'Figure 11. Light fastness of acrylic yarns dyed by cationic dye and ultra-fine pigment5. ConclusionA stable UMP dispersion is able to be prepared via grinding, ultrasonic wave, microencap‐sulation and microfluidics processes with different dispersants like low molecular weightdispersant, polymeric dispersant, copolymer dispersant and siloxane dispersant. It’s moreefficient to prepare the uniform and stable UMP dispersion via comprehensive utilization ofthese dispersing processes.The key dispersion characteristics of UMP dispersion be evaluated by particle size, dispersestability, Zeta potential, color properties and dyeing properties, which are greatly affectedby ionic strength, dispersants and dispersing methods. The disperse stability and color per‐formance are promoted with the smaller particle size and higher charged UMP.The dyeing properties of UMP on many fabrics such as cotton, silk and wool pretreated withcationic reagent is enhanced. The K/S value and rubbing fastness are', 'dye dispersion (breakingup of aggregates with high relative molecular mass), degassing (expulsion of dissolved orentrapped air from the fiber capillaries), strong agitation of the liquid (reduction in thick‐159']","The provided context does not specifically address colorfastness issues associated with disperse-dyed acetates. Therefore, I don't know based on the given information.","Some problems still exist with colourfastness of disperse-dyed acetates, including sensitivity to gas-fume fading and hue changes due to exposure to atmospheric contaminants.",1.0,0.0,0.0,0.0
What is the focus of the patent DE 3447117?,"['solar cells, (n) photoluminescence, (o) holography, (p) plasma technologies, (q) nano technologies for fibre and fabric coating, (r) micro encapsulation for therapy delivery, (s) global positioning and wireless communications, (t) radio frequency identification (RFID) tags, and (u) micro- electronic mechanical systems (MEMS). [24-27] Some of the selected basic features of smart textiles produced by using certain types of molecular switches are briefly covered in this chapter.', 'xvi\n\nMake: Wearable Electronics\n\nworldwide movement that Make is leading —we call it the Maker Movement.\n\nFor more information about Make:, visit us online:\n\nMake: magazine: http://makezine.com/ magazine/ Maker Faire: http://makerfaire.com Makezine.com: http://makezine.com Maker Shed: http://makershed.com/\n\nWe have a web page for this book, where we list errata, examples, and any additional in- formation. You can access this page at:\n\nhttp://bit.ly/wearable-electronics\n\nTo comment or ask technical questions about this book, send email to:\n\nbookquestions@oreilly.com\n\nAcknowledgments\n\nIn 2004, I attended an information session about the Interactive Telecommunications graduate program at New York University. Red Burns (who was the long-standing chair of the program at the time) candidly told us, “If you think you know what you’re going to do here, you’re wrong.” She was, as always, right.', 'Once your drivers are installed, restart your com- puter and then open your Arduino program. When\n\nChapter 6\n\n95\n\ntextilestudycenter.com\n\nSoftware\n\nyou open the Arduino software, you will see the window shown in Figure 6-11.\n\nProtoSnap LilyPad Development Board\n\nIf you want to start by focusing on code and save the circuit construction until later, SparkFun makes a great product called the ProtoSnap LilyPad Development Board (MS MKSF9, SF DEV-11262). ProtoSnap boards include multiple components but create connections between them in the parts of the printed circuit board that would normally be scrap material:\n\nWhen you first get it, you can use it as is to test your code. Once you want to create your project, you can snap the pieces apart and redo the connections using conductive thread. If you use the ProtoSnap LilyPad Development Board for examples in this chapter, just be sure to change the pin numbers in the code, as some of the connections will be different.', 'Machine stand\n\nThe frame upon which all of the sewing machine system elements are mounted – the stand – is designed to allow optimum space at the front, to allow access to the sewing head, while supporting the drive unit in a stable position at the rear. In fact, there is some evidence (from America) that sitting too close to the sewing machine motor can lead to cancer in the lower abdomen. Stands for use in team-working environments (where operators move freely from machine to machine and work in a standing position) are quickly adjustable in height to accommodate variations in operator stature.\n\ntextilestudycenter.com\n\nTechnological advances in sewing garments\n\n203\n\nDrive motor\n\nSeveral different types of motor exist today: • manual friction clutch; • • •\n\nelectromagnetic clutch motor; dc motor; alternating current (ac) motor.']","The provided context does not contain information about the focus of the patent DE 3447117. Therefore, I don't know based on this transcript.",Color-stable modification of a disperse dye.,1.0,0.0,0.0,0.0
What is the estimated torque for a 42 dtex polyester fibre with a wrap angle of 90°?,"['M = Mt + 1/2 Fr\n\nwhere Mt is given by equation (19.7), F is the total frictional force over the whole length on both sides of the centre point and r is the fibre radius.\n\nThe variation in torque along the test length is indicated in Fig. 19.52. By putting in what seemed to be reasonable values of the various parameters, Calil et al. estimated that the torque due to hysteresis (‘internal friction’) would be at least ten times as large as the torque due to surface friction. For a 42 dtex polyester fibre with a wrap angle of 90°, the torque was estimated to be in excess of 1 µN m, which would produce in excess of 1 turn/mm. This is in reasonable agreement with the angles of the helical splits found in fatigue failures by biaxial rotation. Clearly, the torque contributes in an important way to the failure of the fibres, which will have been weakened by the tension/compression action in cyclic bending.\n\nTorque\n\nPosition\n\nActual\n\nNominal contact', '0\n\n80 Surface shear strain (%)\n\n20\n\n40\n\n60\n\n0\n\n2\n\n4 Time (s)\n\n6\n\n17.18 Development of tension and torque in an 80 µm diameter nylon monofilament twisted at 5 turns/second. From Sikorski et al. [39].\n\nthe twist in the specimen is given by the number of turns taken by A, which may be rotated at a constant rate. The torque is obtained from the twist of the torsion wire, which is calculated from the angle turned through by C. Values are noted at intervals as the test is in progress. The same apparatus can be used for measuring the relaxation of torque. With sensitive transducers, the method could be automated [41].', 'The above analysis is only valid for small twist. In Figure 17.17, AC = AB sec φ, which causes a tensile strain of (sec φ – 1), increasing from the centre to the outside, where ϕ equals the twist angle α. Table 17.7 compares the shear strain, equal to tan α, with the tensile strain. At low twists, tensile strain can be neglected, but it must be taken into account at high twists, particularly as tensile modulus is greater than shear modulus. The tensile strains will be strongest for twisting at constant length. Figure 17.18 shows the development of torque and tension in a nylon monofilament twisted at constant length. At zero tension, the fibre will contract on twisting, reducing the tensile strain at the outside but giving a compressive strain at the centre.\n\n17.3.2 Experimental methods', '2.4\n\n) e u q r o t\n\n2.1\n\n70 turns/cm\n\ne v i t a l e r (\n\ng o L\n\n1.8\n\n5 turns/cm\n\n1.5\n\n0\n\n1\n\n2\n\n3\n\nLog (time, min)\n\n17.23 Relaxation of torque [47].\n\n17.3.5 Breaking twist\n\nIf a fibre is twisted far enough, it will eventually rupture. The twist for which this occurs may be called the breaking twist. It has been confirmed experimentally by Schwab [52] and Koch [53] that, as would be expected theoretically, the number of turns to rupture is inversely proportional to the fibre diameter. To obtain a characteristic\n\n© Woodhead Publishing Limited, 2008\n\n439\n\n440\n\nPhysical properties of textile fibres\n\n0.25\n\n)\n\nm m / s n r u t (\n\n0.20\n\n0.15\n\nt s i w T\n\n0.10\n\n0.05\n\n0\n\n9\n\n8\n\n7\n\n) 6 – 0 1\n\n6\n\n× m N\n\n(\n\n5\n\n4\n\ne u q r o T\n\n3\n\n2\n\n1\n\n0\n\n5\n\n10\n\n15\n\n20\n\nTime (s)\n\n17.24 Torque–twist behaviour for a 75 µm diameter nylon monofilament, followed by stress relaxation, recovery and inverse relaxation. From Sikorski et al. [39].']",The estimated torque for a 42 dtex polyester fibre with a wrap angle of 90° was found to be in excess of 1 µN m.,The torque was estimated to be in excess of 1 µN m.,1.0,0.9923117367939117,,0.9999999999
What type of fibres were used to develop the jute-polypropylene blended needle-punched nonwoven?,"['length and jute fibres of Tossa-4 grade were used to develop the jute-polypropylene blended needle-punched nonwoven [35]. Some of the important properties of these jute and polypropylene fibres are presented in the Table 3.', 'They also found that nonwoven prepared out of woollenised jute-wool (2:1), woollenised jute-acrylic (2:1) and woollenised jute-pineapple leaf fibre (2:1) have better thermal insulation property. Air permeability and thermal conductivity of jute needle-punched nonwoven fabrics have been studied by Sengupta et al., 1985 [33] and found that jute needle punched nonwoven has poor in heat transmission. Further, Box and Behnken factorial design [34] was used to design and development of needle-punched nonwoven fabrics made from jute and polypropylene blends to study the effect of fabric weight, needling density and blend proportion on thickness, thermal resistance, specific thermal resistance, air permeability and sectional air permeability. Polypropylene fibre of 0.44 tex fineness, 80 mm length and jute fibres of Tossa-4 grade were used to develop the jute-polypropylene blended needle-punched nonwoven [35]. Some of the important properties of these jute and polypropylene fibres are', 'Table 3. Properties of jute and polypropylene fibres [35]\n\nProperty Fibre fineness, tex Density, g/cm3 Moisture regain at 65% RH, % Tensile strength, cN/tex Breaking elongation, %\n\nJute 2.08 1.45 12.5 30.1 1.55\n\nPolypropylene 0.44 0.92 0.05 34.5 54.13\n\nPREPARATION OF JUTE-POLYPROPYLENE BLENDED THERMAL INSULATION NONWOVEN FABRICS\n\nThe jute reeds were opened in a roller and clearer card, which produces almost mesh-free stapled fibre. The woollenised jute and polypropylene fibres were hand opened separately and then blended using three different blend proportions (Table 4). The proportion of woollenised jute fibres taken is 2% higher than the blends showcased in Table 4 considering droppings of jute component [35] in the card and subsequent processes to maintain target blend in the output material. The blended materials were thoroughly opened by passing them through one carding passage.\n\n509\n\ntextilestudycenter.com\n\n510\n\nSanjoy Debnath', 'make). Apart from these no dimensional changes of jackets have been observed after one cold water detergent wash.\n\nThermal Insulation Behaviour of Jute-Based Nonwoven Fabrics\n\nDifferent types of parallel laid and random laid needle punched and adhesive bonded nonwoven fabrics were prepared using blending of different fibre materials (polypropylene, acrylic, jute, woollenised jute, jute caddis, cotton, wool, ramie, pineapple leaf fibres etc.). Two types of blending methods were used such as sandwich and homogeneous. Sandwich blending of polypropylene or acrylic with woollenised jute shows better thermal insulation compare to homogeneous blended materials as found by Debnath et al., 1987 [3].']","The jute reeds used were of Tossa-4 grade, and polypropylene fibre with a fineness of 0.44 tex and a length of 80 mm was used.",length and jute fibres of Tossa-4 grade,1.0,0.4224070555978173,1.0,0.99999999995
How many drops are produced from the total volume of oil?,"['Total volume of oil = 30 gal\n\n= 136,290 cm3\n\nVolume of one drop = tm-3\n\n= 65·4 X 10-12 em3 Volume of oil Volume of drop\n\nNumber of drops\n\n= 2·1 X 1015\n\ni.e. 2,100 million million drops\n\nThe original interface .}Vas 11,669 cm2 but once the drops have been made it has been increased about 600,000 times.\n\nThe first part in the work of making an emulsion is to split up the oil into this vast number of extremely small drops. This is done by\n\nJute-Fibre to Yam', ""and more difficult to break the drops up into small enough particles to form an emulsion. If, how ever, some substance could be used which would destroy or at least reduce the strength of the surface tension in the oil drops then it would be easy to split the oil drops still further until they were of such a size as to be capable of forming an emulsion. This is one of the roles of the emulsifying agent, it reduces surface tension and makes droplet formation easier. The other function of the emulsifying agent is to prevent the droplets re-uniting. There are two parts to the molecule of the emulsifying agent; a hydrophilic (water-loving) portion and an oleophilic (oil-loving) portion. The oleophilic 'heads' attach them selves to the oil droplets leaving the hydrophilic 'tails' projecting into the water phase. In this way each drop is surrounded by a layer of emulsifying agent which acts as a buffer and when the droplets col lide, as they do many times each second, they are prevented"", ""~\n\nReturn\n\nFigure 4.5. Fraser plant\n\ndeliver a known volume at each stroke. From the pumps the liquids pass to the ultrasonic homogenizer where the reciprocating blade in stantaneously emulsifies the oil. This plant can either be set to produce the required concentration of oil: water ready for application or it may be set to give' a 50: 50 emulsion which then is pumped to a metering unit at the spreader or softener. At the metering unit there are two precalibrated valves, one for metering the 50 : 50 emulsion and the other for metering water. Each valve is set to deliver the necessary quantities within a certain time and, with this system, changes in the oil concentration of the emulsion can be achieved quite easily by adjusting the rate of flow of the water. Once the stock emulsion has been diluted this emulsion is fed to the spreader or the softener. The Fraser unit can emulsify 1,200 lb of oil per hour, enough to add 5 per cent of oil to 24,000 lb of jute in an hour.\n\n54"", 'The first part in the work of making an emulsion is to split up the oil into this vast number of extremely small drops. This is done by\n\nJute-Fibre to Yam\n\nagitating the oil violently and the greater the amount of energy put into the preparation of the emulsion at this stage the smaller will be the drops and the better the emulsion. This energy may be supplied by whirling paddles, high pressure pumps, or vibrating blades as will be shown later but in all the methods the principle is the same. The object being to shear the oil, tear it apart, and smash it into drops. However, some other stage in the preparation is necessary otherwise these drops, no matter how fine, will quickly re-unite until the original quantity of oil is one homogeneous mass again.']","2,100 million million drops.","2·1 X 1015, i.e. 2,100 million million drops",1.0,0.6763650366345674,1.0,0.9999999999
What happens to the photochromic spirooxazine based inkjet ink printed on cotton after 3 minutes of UV irradiation?,"['in visible light within 5 to 7 seconds from a colourless state while spirooxazine (Scheme 7) based inkjet inks almost instantly (within 1 to 3 seconds) convert into blue photochromic inkjet inks just after the addition of the dye molecules into the ink formulations [3].', 'Figure 8 shows the photochromic colour build behaviour of inkjet printed cotton where a spirooxazine 2 (see the structure and reaction mechanism in Scheme 7) based inkjet ink was used during inkjet printing. It reaches to its highest level of colour up under continuous UV irradiation for 3 min and further continuous irradiation causes a decrease in the colour build up due to generation of heat which initiates the thermal back reaction thus resulting in lower colour build up. Figure 9 demonstrates the fading behaviour from the colour build up state of inkjet printed cotton after removal from UV light and it nearly regains its original colour just within 5 min. So, it is clear from this study that spirooxazine based inkjet printed substrates, such as, inkjet printedcotton shows photochromic colour build up when exposed to UV light show a very intense photo-response in terms of a highly intense blue colour build up from an almost colourless inkjet printed background and quickly regain', ""0.46\n\nBefore UV irradiation After UV irradiation for 1' After UV irradiation for 2' After UV irradiation for 3' After UV irradiation for 4'\n\nS / K\n\n0.23\n\n0\n\n400\n\n450\n\n500\n\n600 Wavelength (nm)\n\n550\n\n650\n\nFigure 8. Photochromic (photo-responsive) colour build up on photochromic spirooxazine based inkjet ink printed cotton after UV irradiation for specific times (in min).\n\n109\n\n700\n\ntextilestudycenter.com\n\n110\n\nShah M. Reduwan Billah\n\n0.48\n\nBefore UV\n\nAfter UV irradiation for 3' Fading after 1'\n\n0.32\n\nFading after 2'\n\nS / K\n\n0.16\n\n0\n\n400 430 460 490 520 550 580 610 640 670 700\n\nWavelength (nm)\n\nFigure 9. Gradual fading behaviour of inkjet ink printed cotton from the colour build up state (reached after continuous UV irradiation for 3 min) after removal from the source of UV irradiation.\n\nwhere, R = H (Spirooxazine 1) or -SO3Na (Spirooxazine 2)\n\nScheme 7. Reaction mechanism of spirooxazines 1 and 2 when exposed to UV light and visible light.\n\n0.7"", 'Fading (from colour build up state reached after continuos UV irradiation for 4 min) after 70 min of removal from the source of UV irradiation\n\nFigure 11. Fading behaviour of inkjet ink printed cotton from the colour build up state (reached after continuous UV irradiation for 4 min) and then after 70 min of removal from the source of UV irradiation.']","After 3 minutes of UV irradiation, the photochromic spirooxazine based inkjet ink printed on cotton reaches its highest level of color build-up.","After 3 minutes of UV irradiation, the inkjet ink printed cotton reaches a colour build up state.",1.0,0.850153417394013,1.0,0.5833333333041666
How long does it take to train unskilled staff to operate the system?,"[""Total possible time = 30 x 40 frame hours Lost time:\n\n6hr Maintenance 4 hr Spinner's absence Lack of orders (2 x 10) 20 hr\n\n30 hr\n\n168\n\nJute-Fibre to Yarn\n\nFlat efficiency\n\n(1200-30) x 90\n\n1200 x 100 x 100 = 87·6 per cent\n\nSTOP MOTIONS AND PIECING"", 'lead time is comparatively short in relation to the product development time. Product developers need to reflect on their own processes and consider whether their timescales are justified and whether they can themselves contribute to time compression. It should be pointed out that all personnel involved with NPD are very busy and have many deadlines to meet, so any thought of shortening the timescales is regarded as unrealistic. However, the point being made here is about process: it is not how hard people are working but what activities make up their working lives.', 'Page 37\n\ntextilestudycenter.com\n\nABC Amber ePub Converter Trial version, http://www.processtext.com/abcepub.html\n\nparticular machine she has to operate. Agencies of the various machines usually have skilled workers to give instruction to beginners. While it is not always an economy of time to use the attachments for hemming, tucking, etc., unless much work is to be done, it is worth while to know how to use them if desired. As much or more skill is required for neat machine work as for hand sewing. Results will not be satisfactory without careful basting.\n\nCare of the Machine', 'operators. For these reasons, in a later and portable version of the Arealometer, known as the Port-Ar, the makers reverted to a teased and randomised sample of much larger size, of mass 8g. With this change and the inclusion of a built-in weighing device, specially designed for rapid weighing, it is claimed that an experienced operator can easily run 60 samples an hour, provided that the samples are accessible. With the Arealometer, the corresponding time required per test is approximately 10 minutes, but it is also possible at the same time to obtain a measure of maturity by making a measurement at another level of compression (see Section 3.10.7).']","The context provided does not give specific information about how long it takes to train unskilled staff to operate the system. Therefore, I don't know.",It takes less than 1 h to train unskilled staff to operate the system.,1.0,0.0,0.0,0.0
